mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__weight_decay,param_classifier__learning_rate,param_classifier__latent_dim,param_classifier__hidden_dims,param_classifier__epochs,param_classifier__dropout_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
15.992517757415772,0.3967158276553115,0.0028734683990478517,0.00029382992006050295,1e-05,5e-05,8,"(128, 64)",200,0.2,"{'classifier__weight_decay': 1e-05, 'classifier__learning_rate': 5e-05, 'classifier__latent_dim': 8, 'classifier__hidden_dims': (128, 64), 'classifier__epochs': 200, 'classifier__dropout_rate': 0.2}",0.6609663129700216,0.6418237591236907,0.6924758786481165,0.6339754816112084,0.6851279764170954,0.6628738817540265,0.023036436189753234,1
7.095723962783813,0.8743710930068229,0.0027025699615478515,0.00023178688855519293,0.0001,0.0003,8,"(256, 128)",400,0.3,"{'classifier__weight_decay': 0.0001, 'classifier__learning_rate': 0.0003, 'classifier__latent_dim': 8, 'classifier__hidden_dims': (256, 128), 'classifier__epochs': 400, 'classifier__dropout_rate': 0.3}",0.6381179073159358,0.6524458561312289,0.7243802417030164,0.6427755599308178,0.6040291087881129,0.6523497347738224,0.03954110721807957,2
9.248207950592041,3.1757176651995627,0.003033447265625,0.0006040580460122662,1e-06,0.0005,4,"(128, 64)",400,0.3,"{'classifier__weight_decay': 1e-06, 'classifier__learning_rate': 0.0005, 'classifier__latent_dim': 4, 'classifier__hidden_dims': (128, 64), 'classifier__epochs': 400, 'classifier__dropout_rate': 0.3}",0.6313729104878195,0.6601200900675506,0.6975557755272976,0.5632811565195636,0.6452339254440832,0.6395127716092629,0.04405428459828265,3
15.555666494369508,2.3423762398143197,0.0030012130737304688,0.0009074824373106783,0.0001,5e-05,4,"(128, 64)",200,0.3,"{'classifier__weight_decay': 0.0001, 'classifier__learning_rate': 5e-05, 'classifier__latent_dim': 4, 'classifier__hidden_dims': (128, 64), 'classifier__epochs': 200, 'classifier__dropout_rate': 0.3}",0.6528115901167362,0.701836159728492,0.6372768706965006,0.5900729895247523,0.55705909867183,0.6278113417476623,0.05024807551071726,4
10.555666971206666,1.6218432197375139,0.0026320934295654295,0.0002541739937412834,1e-06,0.0003,8,"(128, 64)",300,0.1,"{'classifier__weight_decay': 1e-06, 'classifier__learning_rate': 0.0003, 'classifier__latent_dim': 8, 'classifier__hidden_dims': (128, 64), 'classifier__epochs': 300, 'classifier__dropout_rate': 0.1}",0.6052496028368025,0.6375814469547813,0.6968378457756361,0.5713034776082062,0.5931241909693139,0.620819312828948,0.0436372319779481,5
5.789224576950073,1.6954689872527864,0.0025254249572753905,0.00032666991371427213,1e-06,0.0005,4,"(256, 128)",200,0.3,"{'classifier__weight_decay': 1e-06, 'classifier__learning_rate': 0.0005, 'classifier__latent_dim': 4, 'classifier__hidden_dims': (256, 128), 'classifier__epochs': 200, 'classifier__dropout_rate': 0.3}",0.651106363828599,0.6072543538088349,0.6525981442603692,0.5887839792888145,0.5942609130761114,0.6188007508525458,0.027649397566007407,6
8.928838348388672,3.1563255705397832,0.0027122020721435545,0.0003421157707403311,1e-05,0.0001,8,"(256, 256)",400,0.2,"{'classifier__weight_decay': 1e-05, 'classifier__learning_rate': 0.0001, 'classifier__latent_dim': 8, 'classifier__hidden_dims': (256, 256), 'classifier__epochs': 400, 'classifier__dropout_rate': 0.2}",0.611875315155097,0.5667402725957511,0.6933624131141835,0.6024028891233644,0.608265982095267,0.6165293744167326,0.041645580804299184,7
14.645561122894287,2.326045170553167,0.00285797119140625,0.0004800106399851865,1e-05,5e-05,8,"(256, 256)",200,0.2,"{'classifier__weight_decay': 1e-05, 'classifier__learning_rate': 5e-05, 'classifier__latent_dim': 8, 'classifier__hidden_dims': (256, 256), 'classifier__epochs': 200, 'classifier__dropout_rate': 0.2}",0.6316060574842897,0.6115673711805594,0.6313485113835376,0.5869184497068454,0.6135144836888535,0.6149909746888171,0.016404863477259984,8
7.559339570999145,2.719426338706989,0.002877664566040039,0.0002897080810651524,0.0001,0.0001,4,"(256, 256)",300,0.2,"{'classifier__weight_decay': 0.0001, 'classifier__learning_rate': 0.0001, 'classifier__latent_dim': 4, 'classifier__hidden_dims': (256, 256), 'classifier__epochs': 300, 'classifier__dropout_rate': 0.2}",0.6378088519950335,0.6032350349718811,0.6377990014249817,0.5882781651455983,0.6023213061970392,0.6138884719469068,0.020234034985101755,9
19.224707794189452,2.6858758941581407,0.002650737762451172,0.0002922353234713,1e-06,5e-05,8,"(128, 64)",300,0.2,"{'classifier__weight_decay': 1e-06, 'classifier__learning_rate': 5e-05, 'classifier__latent_dim': 8, 'classifier__hidden_dims': (128, 64), 'classifier__epochs': 300, 'classifier__dropout_rate': 0.2}",0.6093866065183563,0.6312125398396624,0.6523969063754337,0.5902579108244227,0.5857164612589877,0.6137940849633725,0.025120950234718914,10
5.581391859054565,0.3158475799896202,0.002794504165649414,0.0005027814727080727,0.0001,0.0005,8,"(256, 256)",200,0.2,"{'classifier__weight_decay': 0.0001, 'classifier__learning_rate': 0.0005, 'classifier__latent_dim': 8, 'classifier__hidden_dims': (256, 256), 'classifier__epochs': 200, 'classifier__dropout_rate': 0.2}",0.6281088525372357,0.62558875678498,0.6969139898402062,0.5450446530550086,0.5709118795618453,0.6133136263558552,0.052568353914234145,11
7.578372669219971,2.6751518442620075,0.0029143333435058595,0.00037441396980186244,1e-06,0.0001,4,"(256, 256)",300,0.2,"{'classifier__weight_decay': 1e-06, 'classifier__learning_rate': 0.0001, 'classifier__latent_dim': 4, 'classifier__hidden_dims': (256, 256), 'classifier__epochs': 300, 'classifier__dropout_rate': 0.2}",0.6454539046699884,0.6034308339950616,0.6322568012966246,0.5824368276207155,0.5993516876788028,0.6125860110522385,0.02295724836906598,12
